price,ram_capacity,internal_memory,processor_speed,battery_capacity,primary_camera_rear,primary_camera_front,num_cores,num_rear_cameras,screen_size,resolution_width,resolution_height,fast_charging_available
13964.874805714688,4,77,2.206448046137408,4643,25,12,8,2,6.310318194176942,1050,2400,0
28513.17584711401,7,105,2.6224677132706526,4958,57,48,8,3,6.19596900682263,1080,2787,1
14210.539860365432,3,45,2.4,4488,16,13,8,3,6.513448944147765,1080,2400,0
61263.24040104223,10,234,3.1135812477354676,4971,64,52,8,4,6.939066617152644,1513,3200,1
12533.998733425444,4,82,1.9517345428254413,4529,34,18,8,1,6.391642058862499,1080,2303,0
19576.332709320835,4,61,2.0123291294158,4318,31,16,8,2,6.160467280228288,1080,2400,0
13410.033407356457,3,63,1.6987289391818463,4087,26,16,8,2,6.362110341520923,950,2387,0
55700.82829719811,9,221,2.775282738878792,4923,121,44,8,4,6.870946248642686,1440,3499,1
29915.389654961335,6,103,2.392754570998481,4720,48,29,8,3,6.559423951199186,1080,2524,1
33193.97239831814,6,116,2.7085368530129923,4895,48,28,8,3,6.9,1080,2565,1
6604.232683617827,3,69,2.157817519932883,4722,16,18,8,2,6.682270667536475,1001,2400,0
13724.771688897536,4,84,1.9799844593460938,4526,20,13,8,3,6.161829701953457,1025,2400,0
14246.887634363873,4,42,2.0190615117524935,4577,29,26,8,2,6.7,1080,2400,0
63402.5545494656,9,348,2.956531489225368,4923,104,57,8,4,6.831920610545303,1440,3358,1
58488.24213334362,11,343,2.8872708062107253,5016,124,52,8,4,6.608095993359863,1472,3200,1
14621.911244060955,2,54,1.8271992131252566,4475,15,17,8,1,6.24999846852993,1028,2400,0
15451.43104782429,4,43,2.124865205517101,4320,27,14,8,2,6.371433305223194,1069,2400,0
35818.88729539862,7,123,2.525972667994186,5006,42,26,8,3,6.397916151977813,1139,2400,1
12284.099204275411,3,60,2.0911016593581984,4342,20,9,8,2,6.6846780862802735,1025,2400,0
53174.78226477406,9,215,3.417306532090789,5090,93,56,8,4,6.5,1473,3200,1
18371.64863028914,6,59,1.8754387179111724,4626,29,15,8,1,6.553719977734647,1044,2400,0
45000.0,11,283,3.4841300252754652,4927,108,36,8,4,6.668037267285431,1440,3200,1
69310.88100968488,9,207,2.9093369654874084,5030,111,55,8,4,7.014450657835269,1499,3483,1
55531.11868325202,9,226,3.280042433552924,5117,89,32,8,4,6.939348541734149,1443,3200,1
15208.20934508177,3,75,2.208798367479184,4628,13,15,8,3,6.663754181444644,1028,2400,0
63048.10377751582,10,281,3.0972627964251656,5029,95,46,8,4,6.886459502283481,1440,3200,1
14311.72011316861,5,69,2.2324530723482163,4647,16,10,8,2,6.7,1080,2400,0
29243.09182260433,5,98,2.2301081407724577,5318,39,46,8,3,6.6873398469796665,1080,2428,1
16703.640202361992,3,65,2.2040931551500242,4452,23,15,8,1,6.1733708315089055,1080,2372,0
60997.25470384573,10,353,3.2000842081597853,4404,83,34,8,4,6.973401781086059,1440,3375,1
55424.38240875345,8,255,3.486279375091193,5370,108,47,8,4,6.636443106945324,1440,3200,1
66514.39283619875,12,244,2.6,5042,100,58,8,4,6.590685061448353,1452,3200,1
65208.66152834809,11,224,2.9301215254922863,5285,112,55,8,4,6.84149476020006,1440,3200,1
31907.801359932666,5,171,2.7331173788526617,5097,43,27,8,3,6.381306506536929,1113,2656,1
25863.883450002155,5,125,2.5878530833278632,5305,58,35,8,3,6.656289902217793,1116,2400,1
28992.143037739428,6,156,2.4083322248497843,4371,43,16,8,2,6.465032219432708,1083,2400,1
56745.53696078563,10,218,3.171515104732425,5240,108,45,8,4,6.948935167131401,1440,3335,1
36446.78603824622,8,90,2.537692203695977,4674,43,33,8,3,6.4985483396794255,1134,2400,1
58332.54951848402,10,323,3.2331751219115983,4927,99,48,8,4,6.662563454563957,1499,3338,1
16817.910714540118,3,60,1.936303843962749,4619,28,14,8,2,6.400973440311586,1031,2400,0
67462.56823371757,11,253,2.9080861707165253,4941,95,50,8,4,6.614937709697853,1446,3200,1
8438.742208085332,4,74,2.134914778525391,4508,26,22,8,2,6.368742105769824,1040,2400,0
60758.42629906031,8,371,3.3801643852858247,5124,90,47,8,4,6.848598560177001,1440,3200,1
33045.473175076986,6,166,2.1046787826610807,4822,51,23,8,3,6.719084380202262,1179,2423,1
63968.13528699503,8,178,2.699131795525713,4693,93,62,8,4,6.587668031971515,1440,3200,1
16392.946392367332,3,91,2.1668282783064847,4536,19,16,8,3,6.4047245238526695,1080,2400,0
33127.149182554436,7,185,2.321409025606878,4773,46,18,8,4,6.6008106522832435,1132,2424,1
30782.86686747001,4,92,2.1408660425091615,4675,54,25,8,3,6.42231612506395,1080,2516,1
74199.76940447334,10,283,3.1584759029327194,5112,112,36,8,4,6.6040977380577415,1511,3429,1
32107.098871862574,5,187,2.2546694809232073,5218,41,26,8,3,6.463781465464459,1080,2421,1
11645.103364625526,6,64,1.9044053060561283,4784,16,25,8,2,6.1248119013599736,1041,2234,0
16648.927787401157,6,82,2.255358434122559,4481,31,21,7,1,6.176056933299478,994,2400,0
35962.58826640122,7,84,2.138975079464603,5245,46,32,8,3,6.5616002017394495,1080,2641,1
19649.165163796846,4,58,2.149341314517298,4975,28,14,8,2,6.521111350008834,1010,2335,0
71714.45581439615,8,176,3.166963875858307,4853,111,43,8,4,6.69149557468935,1440,3327,1
9996.932315556296,5,68,1.8206973296962166,3770,25,18,7,2,6.150632441021478,1076,2400,0
14315.896385142249,5,69,2.177708281050889,4517,20,21,8,2,6.645366109700875,1077,2194,0
12210.865096672751,3,73,1.8588247274829512,4751,25,16,8,2,6.429101999017486,1080,2400,0
32203.751905986177,4,142,2.7063273215997374,4903,40,29,8,4,6.3168990925555,1119,2400,1
15543.105388791011,3,76,2.1291684311470718,4577,21,19,8,2,6.485513343553479,1080,2361,0
28185.56648983584,6,98,2.4306800806901885,4945,52,48,8,3,6.608697470776089,1080,2569,1
35091.641066451084,6,100,2.440682814368053,5183,55,32,8,3,6.525563154910258,1171,2400,1
27293.081211175682,4,101,2.5530738307657472,5078,42,33,8,2,6.8649513102106745,1080,2400,1
15826.025589239769,3,71,1.789652288813314,4365,30,19,8,2,6.450430170663735,1080,2355,0
36058.378626423255,5,130,2.4097407027600743,5411,45,30,8,4,6.324333680504629,1080,2404,1
32997.09899542401,5,159,2.3738275943943585,5013,38,30,8,2,6.448179957111661,1147,2400,1
23751.33030531495,4,115,2.0609468956547987,5167,47,48,8,3,6.343124536053972,1119,2400,1
57266.117968872495,10,219,2.8930996005063245,5107,117,53,8,4,7.01715526560629,1440,3247,1
33450.42812073389,6,130,2.742543970979936,5098,51,40,8,3,6.588249564555895,1080,2400,1
12277.91552323346,4,59,1.8594201871415836,5198,27,11,8,2,6.019645344829388,1052,2400,0
59259.71732517738,8,347,3.1421840441372177,5283,99,58,8,4,6.769399637768209,1440,3424,1
13945.779799909502,5,61,2.290253867564261,4729,16,14,8,2,6.232503871160669,1080,2400,0
32271.193461544153,5,147,2.5688559674796787,4554,40,29,8,3,6.9,1105,2400,1
37693.81893471949,5,113,2.493714088546485,5229,37,35,8,4,6.675902214382997,1080,2490,1
71331.59270630931,8,213,3.1339691724168306,4762,88,59,8,4,6.812312253901986,1468,3200,1
50939.18655507448,11,294,3.1558422036424765,4982,87,56,8,4,6.788470226468341,1475,3237,1
62903.32893883261,10,285,3.221956330260301,4723,89,54,8,4,6.616114326267855,1440,3200,1
32852.75439476841,7,146,2.413656876841891,5057,64,34,8,3,6.9,1080,2400,1
12566.190499092685,5,50,1.7340397233716853,3855,18,15,8,1,6.477795369672225,1080,2400,0
20877.286057521425,3,55,1.839856532683161,4967,19,12,8,3,6.292424346962107,1080,2400,0
17307.464292160592,3,46,2.2174593926452077,5042,29,14,8,2,6.475762303251992,1052,2400,0
56631.13388101924,9,352,3.398223921306341,5446,146,34,8,4,6.619767859703023,1509,3200,1
16613.769173171335,4,78,2.092257670258807,4675,30,16,8,2,6.1943504958666145,1080,2293,0
20000.0,7,150,2.329662876689819,4787,51,37,8,3,6.338750573770412,1080,2400,1
71664.84584285734,10,301,3.146685976885889,4715,78,40,8,4,6.743020673487508,1440,3200,1
70110.87789151873,10,263,2.945375366196755,5144,76,40,8,4,6.872735343021373,1470,3200,1
16653.906654209266,4,85,2.1712680291029485,4379,24,21,8,2,6.064271223488589,982,2400,0
14621.646680307025,5,58,2.204395406203488,4853,17,19,8,2,6.107240070434551,1080,2400,0
13343.567748501644,4,44,2.031783090765501,4571,14,19,7,2,6.580112757170131,1080,2400,0
31952.99745931121,6,136,2.546505373372559,5225,52,21,8,4,6.696469414081567,1173,2400,1
31359.605415667917,6,157,2.539224093614331,5398,52,45,8,3,6.7138281309262755,1160,2400,1
16723.864286763503,5,64,1.8002701138081982,4222,22,15,7,3,6.4402218404165605,1029,2318,0
66321.64903019913,10,229,3.04601492747109,4826,107,54,8,4,6.6800661485801,1472,3205,1
58109.483900518884,11,128,2.8420521789795945,5177,76,47,8,3,6.662053742301553,1450,3266,1
12794.349131699772,3,62,1.9084380926289062,4472,28,15,8,2,6.311274138172823,1020,2400,0
26701.4984690538,6,119,2.3271251678308658,5446,58,48,8,4,6.6244542793052785,1183,2745,1
30619.83991532613,5,64,2.1494657207715817,4679,47,25,8,3,6.5468442403238365,1158,2400,1
50598.41547609058,10,134,2.96055276055777,5078,95,47,8,4,6.990588524226416,1440,3200,1
27632.618117565304,6,153,2.5115122462724067,5399,45,16,8,4,6.34387162801804,1106,2400,1
45000.0,10,281,2.9886880527395605,4897,109,41,8,4,6.724176821636207,1489,3200,1
15372.682493879192,5,61,2.1358115313044093,4660,30,15,8,3,6.28574091804598,1080,2322,0
8924.862711007587,4,59,2.021358679423032,4249,35,16,8,3,6.326987194103222,1063,2377,0
19577.996750588005,4,60,1.9547717853903266,5007,20,20,8,2,6.068808520265446,1080,2400,0
50184.98252228469,9,253,2.6,4812,107,50,8,4,6.791989671297007,1440,3200,1
31368.30953782033,5,177,2.3227750996039873,4864,49,29,8,3,6.9,1080,2441,1
36216.17392358688,5,180,2.0,4471,42,37,8,3,6.9,1080,2400,1
17641.607246770793,4,88,1.907366317268454,4767,23,21,8,2,6.313684330290052,1067,2400,0
32250.484026214457,7,99,2.619231069567916,5305,58,40,8,3,6.382222433493598,1214,2415,1
14080.693857142058,4,69,1.739392507497006,4597,20,11,8,2,6.534583886030383,1040,2400,0
81572.52074714529,9,128,2.7668812413894472,4961,105,50,8,4,6.995128444281143,1440,3200,1
59536.299389700565,8,300,3.2037855042170627,5334,105,44,8,4,6.797813271190692,1440,3229,1
32269.25849177343,5,89,2.3892856228018253,5634,44,16,8,3,6.248817875853024,1164,2400,1
66239.83127220557,10,236,2.95916139001354,4575,102,52,8,4,6.829165633768374,1506,3248,1
16616.409820877343,3,71,1.9637830288204141,4474,35,9,8,1,6.21786052159357,1080,2220,0
11346.189680037602,5,55,2.0209218886754146,4848,21,11,8,2,6.2720681401140626,1028,2355,0
18523.13445462809,6,43,2.221405722798784,4527,19,14,8,2,6.514167612854961,1080,2225,0
54413.55096538764,9,289,2.7290519744083306,4961,109,53,8,4,6.7667261582846185,1474,3200,1
15241.242280657993,4,74,2.1345640275045374,4482,13,15,8,2,6.423050299786395,1080,2400,0
23068.612425117863,6,125,2.0,4810,58,31,8,3,6.772654058343728,1087,2400,1
32452.467268255048,6,87,2.3636271801622764,5032,49,40,8,3,6.865852327290572,1152,2544,1
36482.46222628937,6,110,2.187232918343537,5179,48,21,8,2,6.709141517075737,1096,2400,1
13696.946173144448,4,72,2.2571575486337934,4278,28,16,8,1,6.372079435500807,1055,2400,0
75552.90677529675,10,249,3.094492856606665,5032,106,64,8,4,6.699129283903295,1480,3200,1
21238.61604107303,3,92,2.080891346784296,4799,29,17,8,2,6.430652932137582,1080,2324,0
66041.34467186278,11,267,3.0061730374528426,4485,113,45,8,4,6.88048926720107,1440,3226,1
66469.29422250336,11,128,2.6,4976,88,49,8,4,6.9217005206166515,1471,3265,1
23388.617156514963,5,217,2.0532366115275558,4819,36,29,8,3,6.608266491380944,1080,2595,1
62268.384642010744,12,288,2.979310913326194,4924,89,57,8,4,6.856606874049399,1525,3200,1
19256.187826530186,4,36,1.7288563817247826,4516,39,19,8,3,6.486023070247515,1025,2393,0
21996.18598862897,5,58,2.074777572935966,4634,30,14,8,2,6.581157467887364,1080,2400,0
20878.234027164857,5,63,1.875958911181597,4535,29,18,7,2,6.329190454541397,1051,2400,0
56416.432775611924,8,273,2.634531152301037,4705,92,52,8,3,6.8015297871408436,1440,3200,1
15481.633264439155,4,91,1.78850512459903,4956,19,16,8,2,6.146080974718971,1039,2400,0
26128.895655983124,4,161,2.3530066300565156,5128,55,40,8,4,6.716608735433421,1177,2513,1
60043.9943781102,9,257,3.089412450422604,5417,88,49,8,4,6.795815968398415,1458,3314,1
14055.72555984762,3,57,2.1021221082441826,4295,23,16,8,2,6.47647870706049,1080,2312,0
68172.95488889163,10,322,2.90545547010309,4818,126,52,8,4,6.8653207695062575,1440,3200,1
45863.61804515205,13,323,2.742578391226954,4866,64,42,8,4,6.851717219535722,1469,3200,1
28545.256055486312,6,96,2.561287099517246,4334,36,26,8,3,6.9,1123,2411,1
50906.05003940828,10,181,3.5,5079,92,55,8,4,7.079554853681255,1480,3200,1
49561.02443219094,12,263,3.0646025719664625,4893,78,40,8,4,7.1,1477,3448,1
57861.62797404717,10,416,2.9844597586095376,4991,89,48,8,4,6.555670638642273,1462,3200,1
30544.53205903378,6,179,2.8,4551,64,30,8,3,6.423501450568621,1080,2400,1
29345.19867714879,5,100,2.507986216095371,4875,44,16,8,2,6.456410658912243,1097,2400,1
47109.5074727358,8,194,3.325330130759676,4871,74,49,8,4,6.833420110995171,1440,3390,1
11977.473596294472,4,59,2.058631855138425,4484,12,14,8,2,6.494938534053712,1080,2302,0
11037.557057485055,4,67,1.9487962934420693,4513,19,11,8,1,6.313317771742826,1080,2400,0
16220.183508791086,4,58,2.032499120803696,4100,26,14,7,2,6.445878022966762,1080,2400,0
62269.886145246004,11,362,3.386845538693092,5131,74,35,8,4,6.670958400284179,1440,3302,1
20105.110706427673,5,110,2.3626054482443624,5338,47,27,8,3,6.898219149449966,1135,2400,1
48514.81655507461,13,171,3.0792613009638305,5491,108,53,8,4,6.730236926781089,1482,3294,1
75233.55275544638,10,246,3.5,5016,64,46,8,4,6.9157091257155034,1440,3200,1
51373.60984806585,8,365,3.138344236098529,4611,97,43,8,4,7.1,1506,3200,1
31753.116041680274,5,109,2.8,5145,56,32,8,3,6.9,1080,2495,1
55934.30951502216,9,128,2.968661071336553,4791,82,32,8,4,6.613113787854501,1440,3266,1
15753.22505726857,4,73,2.210014726892806,3968,31,9,8,2,6.347181173991321,1010,2388,0
35757.35381625241,7,82,2.464577313365761,4959,51,22,8,3,6.663878627452734,1080,2400,1
18799.28789599754,4,48,2.0665040767295935,4420,13,20,8,2,6.7,1055,2400,0
52362.29436471086,10,200,3.06438661153971,4487,112,50,8,4,6.944830789599179,1487,3215,1
68207.65033049822,11,254,3.2806941368629614,4659,85,48,8,4,6.929921968722574,1504,3200,1
16368.812685606692,4,78,1.721834611176921,4567,30,17,8,2,6.18737458933073,1051,2400,0
26878.6347268543,6,96,2.0977734567478947,5279,40,31,8,3,6.9,1080,2612,1
48370.59002109233,11,246,2.8442534036453684,5246,64,42,8,4,7.1,1482,3200,1
59990.8880063416,8,270,2.6972565792904826,5021,84,50,8,4,6.602946907325879,1440,3200,1
16307.62731164232,4,51,2.0576396908055044,4377,18,18,8,2,6.272538212568502,1080,2400,0
59082.417659319886,9,347,3.3195407064819165,5185,111,52,8,4,6.90402952591454,1448,3276,1
75342.8784938322,8,333,2.6,4779,97,33,8,4,6.78896959220201,1558,3397,1
39022.134755075596,7,123,2.4800788563204503,5435,54,35,8,3,6.305531929896647,1080,2400,1
12299.974290572518,4,57,2.3322661902266875,4320,18,15,8,2,6.144370157436852,1080,2326,0
45000.0,8,282,3.084383060427142,5034,113,49,8,4,7.064231945370724,1467,3200,1
18486.612147298587,3,49,2.0708363132705587,4978,13,20,8,2,6.236707831609275,1075,2400,0
15783.817659406126,4,41,1.722156952870697,4425,22,22,8,2,6.214408723340626,1080,2303,0
15919.619685940732,4,32,1.7673342545801607,4350,24,24,8,1,6.590574031060269,1080,2400,0
11463.189137899724,5,58,2.1946574696108327,4333,27,12,7,2,6.580183786927324,1080,2400,0
10604.651333835147,5,58,1.8163194678994186,4544,22,11,8,2,6.689619381531753,1080,2400,0
18204.481161987245,4,49,1.7879453686807445,4599,31,16,8,2,6.151324917774559,1080,2388,0
25487.88813424429,6,121,2.7790594777752906,5203,44,27,8,2,6.318597002488861,1108,2400,1
31181.336927941098,8,157,2.3925441166550905,5386,36,16,8,2,6.647910090081093,1080,2478,1
70254.93203236058,8,270,2.888522542961383,4884,96,53,8,4,6.707504846131883,1440,3200,1
16241.58924460727,5,61,1.7644061249561138,4274,23,14,8,2,6.472751811370441,1066,2400,0
37263.97066937352,7,148,2.3637328896931002,4879,47,33,8,2,6.702423453030388,1085,2486,1
11500.586038151085,5,79,2.1100294083812905,4369,22,9,8,2,6.558328573699837,1080,2400,0
13788.72139832562,3,55,2.2190356429457987,4307,14,16,8,1,6.347085934169362,1080,2262,0
17334.029190555,3,47,2.102227674874025,4153,28,14,8,3,6.66602102595623,1023,2356,0
17315.53990668229,5,57,1.896328406257418,5085,25,23,8,2,6.392753240820705,939,2276,0
54103.32639530009,9,295,2.9127781886305013,5237,118,58,8,4,6.88376724158341,1440,3200,1
16860.83206835309,5,38,1.691825544521245,4628,21,13,8,2,6.338860798334026,1080,2211,0
22816.372694292335,7,107,2.271362000766945,5061,55,32,8,4,6.273615397830238,1080,2470,1
33516.76935704793,4,122,2.490118317298106,4788,49,48,8,2,6.517159249890115,1127,2400,1
62166.873656667645,10,262,2.895539849255187,5304,81,58,8,4,6.652408531148663,1462,3237,1
23292.78743702806,6,190,2.0917281228957694,4980,64,29,8,3,6.65380143202479,1080,2609,1
62619.94086035452,9,312,3.0414818857907107,5005,86,59,8,4,6.811589966326576,1440,3200,1
28680.727130960313,4,125,2.4075754255984068,5035,54,25,8,3,6.312550436098755,1085,2400,1
16558.833439598406,4,55,1.8341112713913255,3914,24,12,7,2,6.092482651472851,1080,2250,0
11557.423773968378,4,67,2.189447265640478,4754,20,14,8,2,6.2576508404538345,1080,2400,0
34898.82124436405,6,112,2.4860164806440688,4867,41,29,8,2,6.826455758864885,1080,2400,1
30426.62196148117,6,132,2.0387593772018167,4817,42,37,8,3,6.5179571010251625,1080,2513,1
21602.106297651386,4,89,1.9741077522966877,4096,24,11,8,1,6.687545777726059,1080,2400,0
39664.72586522272,6,140,2.537171845769211,5263,46,39,8,4,6.1996296933219535,1080,2400,1
26283.12724465254,5,64,2.46425399392541,5368,36,31,8,3,6.78370931185197,1085,2415,1
11012.763512483518,3,113,2.2102251702602174,4546,13,22,8,2,6.686253859931266,1000,2254,0
17664.583624022627,4,61,1.992601917449982,4600,26,22,7,2,6.466873706042046,1080,2331,0
14601.596476464076,5,59,2.0890503158988247,4992,21,17,8,1,6.341268645535764,1041,2354,0
15179.829578242854,4,69,2.2067803834790802,4367,21,16,7,3,6.469655241687158,1053,2384,0
11571.1438813755,4,66,2.0196890436099415,5138,15,11,8,2,6.519244246860042,1046,2400,0
62186.004636129146,12,224,2.9176949229158904,5280,94,36,8,4,6.825647348463635,1440,3320,1
29230.64728524149,5,142,2.5639602394491066,4718,55,48,8,4,6.9,1080,2497,1
28669.901060510136,5,149,2.3912110397178297,4673,49,38,8,3,6.865095312569463,1080,2598,1
26885.42890823149,4,191,2.6569410869768704,4991,41,20,8,4,6.5360657645468,1080,2400,1
62844.709136974736,9,274,2.9023757487343915,5220,95,59,8,4,6.714031415906745,1465,3420,1
30406.217114577346,6,166,2.5635800753890114,5061,54,22,8,4,6.9,1088,2400,1
20408.59245778194,5,116,2.393152736592129,5038,43,37,8,3,6.492533372114415,1080,2411,1
31036.77935430431,6,143,2.669535312238258,5253,52,27,8,4,6.568657615679443,1080,2496,1
54840.82233760231,11,299,3.004446931530619,4528,101,43,8,4,6.699106561970982,1452,3273,1
17451.564840352225,4,69,2.1351169435342086,4794,18,17,8,2,5.970547336501297,1080,2400,0
60793.385697840204,10,356,3.2944438751212037,5017,69,48,8,4,6.807931757905153,1440,3205,1
62041.06844554374,11,270,3.278279185634653,5131,86,52,8,4,6.526057467087618,1440,3200,1
59917.71524513279,9,289,2.6928383122621513,4608,64,52,8,4,6.726545298938255,1490,3265,1
11605.077219746543,4,66,2.2262114730125875,4486,19,24,8,2,6.138329774519258,1080,2168,0
15686.162219806309,4,53,2.206980966443444,4826,21,13,8,2,6.355617016490249,1046,2289,0
22320.043385129553,5,157,2.5557408882616186,5108,64,29,8,3,6.76899158161183,1080,2477,1
31593.343485440182,5,133,2.7993944370373023,4727,55,27,8,3,6.420521595703482,1080,2695,1
11643.91319656328,4,53,1.8101580155308337,4609,32,11,8,2,6.183671576770795,1068,2266,0
60293.73356551209,13,266,3.20325444072244,4911,125,40,8,4,6.895328391127743,1458,3200,1
37269.00949763122,6,76,2.457993210918975,5110,54,24,8,3,6.765154326768551,1110,2603,1
60766.10261912076,11,182,3.024112030087593,4672,85,58,8,4,6.718478389178762,1440,3200,1
73612.23915786024,10,289,3.051596972564221,5065,94,55,8,4,6.9628244454019175,1516,3306,1
59569.01143736815,10,197,2.7379806676121055,4715,69,32,8,4,6.790370945092874,1440,3248,1
26043.154690029765,5,119,2.259509249046045,4974,50,43,8,3,6.509144767610328,1080,2400,1
57387.29579107975,10,352,2.853401678822995,4983,80,52,8,4,6.952115553412116,1440,3200,1
74783.99357293494,9,375,3.4726192541741225,4933,81,48,8,4,6.706268919765891,1440,3200,1
14422.15504261773,3,62,2.1618369418281294,4738,20,18,8,2,6.488052832910958,1080,2400,0
14263.207002153686,3,78,1.9456944865832175,4290,30,22,8,2,6.396073883337474,1080,2343,0
38795.668719095134,7,108,2.2644145143394487,4926,49,39,8,3,6.7900525597189825,1084,2436,1
61643.98770587856,11,320,3.070575608800345,4735,94,49,8,4,6.657069482176902,1448,3200,1
12154.504121417769,4,73,2.015920735776147,4893,15,17,8,2,6.7,1080,2400,0
71070.64900849127,11,350,2.9582783120547336,5388,106,51,8,4,6.730080803771297,1442,3200,1
15836.222568288,3,75,2.199695174822983,4249,19,19,8,2,6.349138581815148,1080,2395,0
58899.10631449219,8,270,3.3091963691162,5096,113,53,8,4,6.768731457026701,1440,3217,1
61788.92891733723,8,250,3.013005398701635,5176,90,55,8,3,6.676011765956923,1565,3216,1
15335.776855670594,4,77,2.1049366484079197,4472,27,11,8,2,6.210112824250643,1015,2400,0
27008.06848075341,5,202,2.0003090892471667,4619,57,43,8,4,6.162353969707832,1080,2400,1
16137.323485629917,4,40,2.2900368421650055,4149,12,10,8,3,6.411811364455203,1068,2400,0
30705.472813282486,7,137,2.518575718448221,5026,38,33,8,4,6.559663942919113,1094,2400,1
14530.920818312103,4,67,1.9206706896387127,4080,30,14,8,1,6.383712707023067,1080,2265,0
10764.333371786317,4,51,2.15842422462282,3500,29,13,8,3,6.523429650235485,1080,2391,0
54669.97193965906,8,182,2.64054254598975,5129,92,37,8,4,7.091637230691863,1440,3200,1
15930.367561879579,4,67,1.6654469983298517,4101,16,8,8,2,6.479178679845479,1021,2400,0
30635.710509030523,6,97,2.056534093821833,4832,43,42,8,3,6.9,1080,2470,1
51436.96201912422,8,340,3.194451310021991,5126,108,34,8,4,6.852204619400671,1440,3336,1
32050.81491311949,5,113,2.503165941047305,4600,54,38,8,3,6.582629968059616,1080,2400,1
12847.542488078318,3,93,2.130205883698795,4578,21,16,8,2,6.36901170938843,1026,2390,0
34036.09397539624,5,163,2.470465560270968,4956,45,38,8,3,6.614567831276926,1222,2591,1
27513.402453255254,7,120,2.419242301510557,4928,42,26,8,3,6.863925104564691,1080,2400,1
47870.86678538023,10,222,3.216930393451759,5008,126,47,8,3,6.860829252702444,1440,3260,1
23951.643709288568,5,141,2.0206356537573744,5393,53,30,8,3,6.727533435718525,1164,2444,1
54836.97244599242,10,322,2.6638540060216553,4815,87,53,8,4,6.7334641901372,1445,3200,1
23707.20056716392,5,141,2.192336375986355,4903,44,32,8,3,6.451414107045221,1175,2550,1
52691.96070861239,10,299,2.8837575431202276,5064,76,52,8,4,6.599937062246133,1440,3200,1
31296.818089008342,6,84,2.284338993775508,4741,37,20,8,3,6.606998931854564,1146,2470,1
35600.05897646131,7,119,2.4723942230883122,5369,46,30,8,4,6.464592045719221,1080,2400,1
10108.510467776836,4,86,1.8587051112082422,4476,33,25,7,1,6.661193301676437,1080,2333,0
22639.630847733522,5,122,2.3802379667220643,4862,53,32,8,3,6.3130294205558,1086,2492,1
30667.89609158407,4,187,2.4977867040490054,5249,46,42,8,3,6.4062820146342165,1168,2405,1
18766.392965838942,5,60,2.2890593988242016,4574,23,9,8,2,6.49658794764662,1080,2275,0
32413.32879692353,7,135,2.309709382779648,4878,47,35,8,3,6.399768155732574,1080,2563,1
57651.36564089808,11,290,2.8149209078077284,5019,109,51,8,4,6.578653172121468,1447,3200,1
66474.1099038752,8,357,3.200810109853226,5137,93,35,8,4,6.814944718925068,1440,3343,1
